,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
0,Over,1.89,229.0,Brooklyn Nets,Milwaukee Bucks,Barstool Sportsbook,2022-01-08T00:40:00Z,1.89,232.0,1.89,232.5
1,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,Barstool Sportsbook,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
2,Over,1.91,229.5,Brooklyn Nets,Milwaukee Bucks,BetMGM,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
3,Under,1.91,229.5,Brooklyn Nets,Milwaukee Bucks,BetMGM,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
4,Over,1.9,229.0,Brooklyn Nets,Milwaukee Bucks,BetOnline.ag,2022-01-08T00:40:00Z,1.9,232.0,1.9,233.0
5,Under,1.9,229.0,Brooklyn Nets,Milwaukee Bucks,BetOnline.ag,2022-01-08T00:40:00Z,1.9,232.0,1.9,233.0
6,Over,1.89,229.0,Brooklyn Nets,Milwaukee Bucks,BetRivers,2022-01-08T00:40:00Z,1.89,232.0,1.89,232.5
7,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,BetRivers,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
8,Over,1.91,229.0,Brooklyn Nets,Milwaukee Bucks,BetUS,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
9,Under,1.91,229.0,Brooklyn Nets,Milwaukee Bucks,BetUS,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
10,Over,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,Bovada,2022-01-08T00:40:00Z,1.91,232.0,1.91,233.0
11,Under,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,Bovada,2022-01-08T00:40:00Z,1.91,232.0,1.91,233.0
12,Over,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,DraftKings,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
13,Under,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,DraftKings,2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
14,Over,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,FOX Bet,2022-01-08T00:40:00Z,2.0,232.0,2.0,232.0
15,Under,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,FOX Bet,2022-01-08T00:40:00Z,1.85,232.0,1.85,232.0
16,Over,1.91,229.0,Brooklyn Nets,Milwaukee Bucks,FanDuel,2022-01-08T00:40:00Z,1.91,232.0,1.93,233.0
17,Under,1.91,229.0,Brooklyn Nets,Milwaukee Bucks,FanDuel,2022-01-08T00:40:00Z,1.91,232.0,1.89,233.0
18,Over,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,GTbets,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
19,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,GTbets,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
20,Over,1.91,228.0,Brooklyn Nets,Milwaukee Bucks,MyBookie.ag,2022-01-08T00:40:00Z,1.91,228.5,1.91,232.0
21,Under,1.91,228.0,Brooklyn Nets,Milwaukee Bucks,MyBookie.ag,2022-01-08T00:40:00Z,1.91,228.5,1.91,232.0
22,Over,1.89,229.0,Brooklyn Nets,Milwaukee Bucks,SugarHouse,2022-01-08T00:40:00Z,1.89,232.0,1.89,232.5
23,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,SugarHouse,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
24,Over,1.89,229.0,Brooklyn Nets,Milwaukee Bucks,TwinSpires,2022-01-08T00:40:00Z,1.89,232.0,1.89,232.5
25,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,TwinSpires,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
26,Over,1.9,229.0,Brooklyn Nets,Milwaukee Bucks,Unibet,2022-01-08T00:40:00Z,1.9,232.0,1.9,232.5
27,Under,1.92,229.0,Brooklyn Nets,Milwaukee Bucks,Unibet,2022-01-08T00:40:00Z,1.92,232.0,1.92,232.5
28,Over,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,William Hill (US),2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
29,Under,1.91,228.5,Brooklyn Nets,Milwaukee Bucks,William Hill (US),2022-01-08T00:40:00Z,1.91,232.5,1.91,232.5
30,Over,1.91,228.0,Brooklyn Nets,Milwaukee Bucks,WynnBET,2022-01-08T00:40:00Z,1.91,232.0,1.91,232.0
31,Under,1.91,228.0,Brooklyn Nets,Milwaukee Bucks,WynnBET,2022-01-08T00:40:00Z,1.91,232.0,1.91,232.0
32,Over,1.89,223.0,Chicago Bulls,Washington Wizards,Barstool Sportsbook,2022-01-08T01:10:00Z,1.89,225.5,1.89,225.5
33,Under,1.92,223.0,Chicago Bulls,Washington Wizards,Barstool Sportsbook,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
34,Over,1.91,222.5,Chicago Bulls,Washington Wizards,BetMGM,2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
35,Under,1.91,222.5,Chicago Bulls,Washington Wizards,BetMGM,2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
36,Over,1.9,224.0,Chicago Bulls,Washington Wizards,BetOnline.ag,2022-01-08T01:10:00Z,1.9,225.5,1.9,226.0
37,Under,1.9,224.0,Chicago Bulls,Washington Wizards,BetOnline.ag,2022-01-08T01:10:00Z,1.9,225.5,1.9,226.0
38,Over,1.89,223.0,Chicago Bulls,Washington Wizards,BetRivers,2022-01-08T01:10:00Z,1.89,225.5,1.89,225.5
39,Under,1.92,223.0,Chicago Bulls,Washington Wizards,BetRivers,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
40,Over,1.91,224.5,Chicago Bulls,Washington Wizards,BetUS,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.0
41,Under,1.91,224.5,Chicago Bulls,Washington Wizards,BetUS,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.0
42,Over,1.91,224.0,Chicago Bulls,Washington Wizards,Bovada,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.0
43,Under,1.91,224.0,Chicago Bulls,Washington Wizards,Bovada,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.0
44,Over,1.91,223.5,Chicago Bulls,Washington Wizards,DraftKings,2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
45,Under,1.91,223.5,Chicago Bulls,Washington Wizards,DraftKings,2022-01-08T01:10:00Z,1.91,225.5,1.91,225.5
46,Over,1.91,223.5,Chicago Bulls,Washington Wizards,FOX Bet,2022-01-08T01:10:00Z,1.91,225.0,1.91,226.0
47,Under,1.91,223.5,Chicago Bulls,Washington Wizards,FOX Bet,2022-01-08T01:10:00Z,1.91,225.0,1.91,226.0
48,Over,1.91,224.0,Chicago Bulls,Washington Wizards,FanDuel,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.5
49,Under,1.91,224.0,Chicago Bulls,Washington Wizards,FanDuel,2022-01-08T01:10:00Z,1.91,225.5,1.91,226.5
50,Over,1.92,224.0,Chicago Bulls,Washington Wizards,GTbets,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
51,Under,1.92,224.0,Chicago Bulls,Washington Wizards,GTbets,2022-01-08T01:10:00Z,1.92,225.5,1.92,225.5
