,name,price,point,home_team,away_team,bookmakers.title,commence_time
0,Over,1.89,223.0,Atlanta Hawks,Miami Heat,Barstool Sportsbook,2022-01-13T00:40:00Z
1,Under,1.92,223.0,Atlanta Hawks,Miami Heat,Barstool Sportsbook,2022-01-13T00:40:00Z
2,Over,1.91,222.5,Atlanta Hawks,Miami Heat,BetMGM,2022-01-13T00:40:00Z
3,Under,1.91,222.5,Atlanta Hawks,Miami Heat,BetMGM,2022-01-13T00:40:00Z
4,Over,1.9,223.0,Atlanta Hawks,Miami Heat,BetOnline.ag,2022-01-13T00:40:00Z
5,Under,1.9,223.0,Atlanta Hawks,Miami Heat,BetOnline.ag,2022-01-13T00:40:00Z
6,Over,1.89,223.0,Atlanta Hawks,Miami Heat,BetRivers,2022-01-13T00:40:00Z
7,Under,1.92,223.0,Atlanta Hawks,Miami Heat,BetRivers,2022-01-13T00:40:00Z
8,Over,1.91,223.0,Atlanta Hawks,Miami Heat,BetUS,2022-01-13T00:40:00Z
9,Under,1.91,223.0,Atlanta Hawks,Miami Heat,BetUS,2022-01-13T00:40:00Z
10,Over,1.95,223.0,Atlanta Hawks,Miami Heat,Bovada,2022-01-13T00:40:00Z
11,Under,1.87,223.0,Atlanta Hawks,Miami Heat,Bovada,2022-01-13T00:40:00Z
12,Over,1.95,223.5,Atlanta Hawks,Miami Heat,DraftKings,2022-01-13T00:40:00Z
13,Under,1.87,223.5,Atlanta Hawks,Miami Heat,DraftKings,2022-01-13T00:40:00Z
14,Over,1.91,223.5,Atlanta Hawks,Miami Heat,FOX Bet,2022-01-13T00:40:00Z
15,Under,1.91,223.5,Atlanta Hawks,Miami Heat,FOX Bet,2022-01-13T00:40:00Z
16,Over,1.93,223.5,Atlanta Hawks,Miami Heat,FanDuel,2022-01-13T00:40:00Z
17,Under,1.89,223.5,Atlanta Hawks,Miami Heat,FanDuel,2022-01-13T00:40:00Z
18,Over,1.92,223.0,Atlanta Hawks,Miami Heat,GTbets,2022-01-13T00:40:00Z
19,Under,1.92,223.0,Atlanta Hawks,Miami Heat,GTbets,2022-01-13T00:40:00Z
20,Over,1.95,223.0,Atlanta Hawks,Miami Heat,LowVig.ag,2022-01-13T00:40:00Z
21,Under,1.95,223.0,Atlanta Hawks,Miami Heat,LowVig.ag,2022-01-13T00:40:00Z
22,Over,1.89,223.0,Atlanta Hawks,Miami Heat,SugarHouse,2022-01-13T00:40:00Z
23,Under,1.92,223.0,Atlanta Hawks,Miami Heat,SugarHouse,2022-01-13T00:40:00Z
24,Over,1.89,223.0,Atlanta Hawks,Miami Heat,TwinSpires,2022-01-13T00:40:00Z
25,Under,1.92,223.0,Atlanta Hawks,Miami Heat,TwinSpires,2022-01-13T00:40:00Z
26,Over,1.9,223.0,Atlanta Hawks,Miami Heat,Unibet,2022-01-13T00:40:00Z
27,Under,1.92,223.0,Atlanta Hawks,Miami Heat,Unibet,2022-01-13T00:40:00Z
28,Over,1.91,223.0,Atlanta Hawks,Miami Heat,William Hill (US),2022-01-13T00:40:00Z
29,Under,1.91,223.0,Atlanta Hawks,Miami Heat,William Hill (US),2022-01-13T00:40:00Z
30,Over,1.91,223.5,Atlanta Hawks,Miami Heat,WynnBET,2022-01-13T00:40:00Z
31,Under,1.91,223.5,Atlanta Hawks,Miami Heat,WynnBET,2022-01-13T00:40:00Z
32,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,Barstool Sportsbook,2022-01-13T03:10:00Z
33,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,Barstool Sportsbook,2022-01-13T03:10:00Z
34,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,BetMGM,2022-01-13T03:10:00Z
35,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,BetMGM,2022-01-13T03:10:00Z
36,Over,1.9,233.5,Chicago Bulls,Brooklyn Nets,BetOnline.ag,2022-01-13T03:10:00Z
37,Under,1.9,233.5,Chicago Bulls,Brooklyn Nets,BetOnline.ag,2022-01-13T03:10:00Z
38,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,BetRivers,2022-01-13T03:10:00Z
39,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,BetRivers,2022-01-13T03:10:00Z
40,Over,1.91,233.0,Chicago Bulls,Brooklyn Nets,BetUS,2022-01-13T03:10:00Z
41,Under,1.91,233.0,Chicago Bulls,Brooklyn Nets,BetUS,2022-01-13T03:10:00Z
42,Over,1.91,233.5,Chicago Bulls,Brooklyn Nets,Bovada,2022-01-13T03:10:00Z
43,Under,1.91,233.5,Chicago Bulls,Brooklyn Nets,Bovada,2022-01-13T03:10:00Z
44,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,DraftKings,2022-01-13T03:10:00Z
45,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,DraftKings,2022-01-13T03:10:00Z
46,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,FOX Bet,2022-01-13T03:10:00Z
47,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,FOX Bet,2022-01-13T03:10:00Z
48,Over,1.93,233.0,Chicago Bulls,Brooklyn Nets,FanDuel,2022-01-13T03:10:00Z
49,Under,1.89,233.0,Chicago Bulls,Brooklyn Nets,FanDuel,2022-01-13T03:10:00Z
50,Over,1.92,233.0,Chicago Bulls,Brooklyn Nets,GTbets,2022-01-13T03:10:00Z
51,Under,1.92,233.0,Chicago Bulls,Brooklyn Nets,GTbets,2022-01-13T03:10:00Z
52,Over,1.95,232.0,Chicago Bulls,Brooklyn Nets,LowVig.ag,2022-01-13T03:10:00Z
53,Under,1.95,232.0,Chicago Bulls,Brooklyn Nets,LowVig.ag,2022-01-13T03:10:00Z
54,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,SugarHouse,2022-01-13T03:10:00Z
55,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,SugarHouse,2022-01-13T03:10:00Z
56,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,TwinSpires,2022-01-13T03:10:00Z
57,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,TwinSpires,2022-01-13T03:10:00Z
58,Over,1.91,232.5,Chicago Bulls,Brooklyn Nets,Unibet,2022-01-13T03:10:00Z
59,Under,1.91,232.5,Chicago Bulls,Brooklyn Nets,Unibet,2022-01-13T03:10:00Z
60,Over,1.91,233.0,Chicago Bulls,Brooklyn Nets,William Hill (US),2022-01-13T03:10:00Z
61,Under,1.91,233.0,Chicago Bulls,Brooklyn Nets,William Hill (US),2022-01-13T03:10:00Z
62,Over,1.91,231.5,Chicago Bulls,Brooklyn Nets,WynnBET,2022-01-13T03:10:00Z
63,Under,1.91,231.5,Chicago Bulls,Brooklyn Nets,WynnBET,2022-01-13T03:10:00Z
64,Over,1.89,210.5,Indiana Pacers,Boston Celtics,Barstool Sportsbook,2022-01-13T00:10:00Z
65,Under,1.92,210.5,Indiana Pacers,Boston Celtics,Barstool Sportsbook,2022-01-13T00:10:00Z
66,Over,1.91,210.5,Indiana Pacers,Boston Celtics,BetMGM,2022-01-13T00:10:00Z
67,Under,1.91,210.5,Indiana Pacers,Boston Celtics,BetMGM,2022-01-13T00:10:00Z
68,Over,1.9,211.0,Indiana Pacers,Boston Celtics,BetOnline.ag,2022-01-13T00:10:00Z
69,Under,1.9,211.0,Indiana Pacers,Boston Celtics,BetOnline.ag,2022-01-13T00:10:00Z
70,Over,1.89,210.5,Indiana Pacers,Boston Celtics,BetRivers,2022-01-13T00:10:00Z
71,Under,1.92,210.5,Indiana Pacers,Boston Celtics,BetRivers,2022-01-13T00:10:00Z
72,Over,1.91,210.5,Indiana Pacers,Boston Celtics,BetUS,2022-01-13T00:10:00Z
73,Under,1.91,210.5,Indiana Pacers,Boston Celtics,BetUS,2022-01-13T00:10:00Z
74,Over,1.91,210.5,Indiana Pacers,Boston Celtics,Bovada,2022-01-13T00:10:00Z
