,name,price,point,home_team,away_team,bookmakers.title,commence_time,price2,point2
0,Over,1.92,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.92,143.5
1,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.91,143.5
2,Over,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetMGM,2022-01-07T01:00:00Z,1.91,143.5
3,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetMGM,2022-01-07T01:00:00Z,1.91,143.5
4,Over,1.92,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetRivers,2022-01-07T01:00:00Z,1.92,143.5
5,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetRivers,2022-01-07T01:00:00Z,1.91,143.5
6,Over,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetUS,2022-01-07T01:00:00Z,1.91,143.0
7,Under,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,BetUS,2022-01-07T01:00:00Z,1.91,143.0
8,Over,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Bovada,2022-01-07T01:00:00Z,1.91,143.0
9,Under,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Bovada,2022-01-07T01:00:00Z,1.91,143.0
10,Over,1.91,144.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,FanDuel,2022-01-07T01:00:00Z,1.91,144.0
11,Under,1.91,144.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,FanDuel,2022-01-07T01:00:00Z,1.91,144.0
12,Over,1.91,140.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,143.5
13,Under,1.91,140.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,143.5
14,Over,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,PointsBet (US),2022-01-07T01:00:00Z,1.87,143.0
15,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,PointsBet (US),2022-01-07T01:00:00Z,1.95,143.0
16,Over,1.92,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,SugarHouse,2022-01-07T01:00:00Z,1.92,143.5
17,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,SugarHouse,2022-01-07T01:00:00Z,1.91,143.5
18,Over,1.92,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,TwinSpires,2022-01-07T01:00:00Z,1.92,143.5
19,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,TwinSpires,2022-01-07T01:00:00Z,1.91,143.5
20,Over,1.88,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Unibet,2022-01-07T01:00:00Z,1.88,143.5
21,Under,1.87,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,Unibet,2022-01-07T01:00:00Z,1.87,143.5
22,Over,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,William Hill (US),2022-01-07T01:00:00Z,1.91,143.0
23,Under,1.91,143.0,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,William Hill (US),2022-01-07T01:00:00Z,1.91,143.0
24,Over,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,WynnBET,2022-01-07T01:00:00Z,1.87,143.0
25,Under,1.91,143.5,Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,WynnBET,2022-01-07T01:00:00Z,1.95,143.0
26,Over,1.88,125.0,Albany Great Danes,Binghamton Bearcats,Barstool Sportsbook,2022-01-07T00:00:00Z,1.88,125.0
27,Under,1.93,125.0,Albany Great Danes,Binghamton Bearcats,Barstool Sportsbook,2022-01-07T00:00:00Z,1.93,125.0
28,Over,1.91,125.5,Albany Great Danes,Binghamton Bearcats,BetMGM,2022-01-07T00:00:00Z,1.91,125.5
29,Under,1.91,125.5,Albany Great Danes,Binghamton Bearcats,BetMGM,2022-01-07T00:00:00Z,1.91,125.5
30,Over,1.88,125.0,Albany Great Danes,Binghamton Bearcats,BetRivers,2022-01-07T00:00:00Z,1.88,125.0
31,Under,1.93,125.0,Albany Great Danes,Binghamton Bearcats,BetRivers,2022-01-07T00:00:00Z,1.93,125.0
