,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
0,Over,1.88,146.0,Army Knights,Lehigh Mountain Hawks,Barstool Sportsbook,2022-01-07T22:00:00Z,1.88,143.5,1.92,144.0
1,Under,1.93,146.0,Army Knights,Lehigh Mountain Hawks,Barstool Sportsbook,2022-01-07T22:00:00Z,1.93,143.5,1.89,144.0
2,Over,1.91,145.5,Army Knights,Lehigh Mountain Hawks,BetMGM,2022-01-07T22:00:00Z,1.91,143.5,1.91,143.5
3,Under,1.91,145.5,Army Knights,Lehigh Mountain Hawks,BetMGM,2022-01-07T22:00:00Z,1.91,143.5,1.91,143.5
4,Over,1.88,146.0,Army Knights,Lehigh Mountain Hawks,BetRivers,2022-01-07T22:00:00Z,1.88,143.5,1.92,144.0
5,Under,1.93,146.0,Army Knights,Lehigh Mountain Hawks,BetRivers,2022-01-07T22:00:00Z,1.93,143.5,1.89,144.0
6,Over,1.91,146.0,Army Knights,Lehigh Mountain Hawks,BetUS,2022-01-07T22:00:00Z,1.91,144.0,1.91,145.0
7,Under,1.91,146.0,Army Knights,Lehigh Mountain Hawks,BetUS,2022-01-07T22:00:00Z,1.91,144.0,1.91,145.0
8,Over,1.91,145.5,Army Knights,Lehigh Mountain Hawks,Bovada,2022-01-07T22:00:00Z,1.95,144.0,1.95,144.0
9,Under,1.91,145.5,Army Knights,Lehigh Mountain Hawks,Bovada,2022-01-07T22:00:00Z,1.87,144.0,1.87,144.0
10,Over,1.91,146.0,Army Knights,Lehigh Mountain Hawks,FOX Bet,2022-01-07T22:00:00Z,1.91,144.5,1.91,144.5
11,Under,1.91,146.0,Army Knights,Lehigh Mountain Hawks,FOX Bet,2022-01-07T22:00:00Z,1.91,144.5,1.91,144.5
12,Over,1.94,146.5,Army Knights,Lehigh Mountain Hawks,FanDuel,2022-01-07T22:00:00Z,1.91,144.5,1.91,144.5
13,Under,1.88,146.5,Army Knights,Lehigh Mountain Hawks,FanDuel,2022-01-07T22:00:00Z,1.91,144.5,1.91,144.5
14,Over,1.96,146.5,Army Knights,Lehigh Mountain Hawks,GTbets,2022-01-07T22:00:00Z,1.92,144.0,1.92,144.0
15,Under,1.88,146.5,Army Knights,Lehigh Mountain Hawks,GTbets,2022-01-07T22:00:00Z,1.92,144.0,1.92,144.0
16,Over,1.88,146.0,Army Knights,Lehigh Mountain Hawks,SugarHouse,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0
17,Under,1.93,146.0,Army Knights,Lehigh Mountain Hawks,SugarHouse,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0
18,Over,1.88,146.0,Army Knights,Lehigh Mountain Hawks,TwinSpires,2022-01-07T22:00:00Z,1.88,143.5,1.92,144.0
19,Under,1.93,146.0,Army Knights,Lehigh Mountain Hawks,TwinSpires,2022-01-07T22:00:00Z,1.93,143.5,1.89,144.0
20,Over,1.85,146.0,Army Knights,Lehigh Mountain Hawks,Unibet,2022-01-07T22:00:00Z,1.88,143.5,1.92,144.0
21,Under,1.89,146.0,Army Knights,Lehigh Mountain Hawks,Unibet,2022-01-07T22:00:00Z,1.93,143.5,1.89,144.0
