,name,price,point,home_team,away_team,bookmakers.title,commence_time
0,Over,1.93,132.5,Albany Great Danes,UMass Lowell River Hawks,Barstool Sportsbook,2022-01-13T00:00:00Z
1,Under,1.89,132.5,Albany Great Danes,UMass Lowell River Hawks,Barstool Sportsbook,2022-01-13T00:00:00Z
2,Over,1.91,133.5,Albany Great Danes,UMass Lowell River Hawks,BetMGM,2022-01-13T00:00:00Z
3,Under,1.91,133.5,Albany Great Danes,UMass Lowell River Hawks,BetMGM,2022-01-13T00:00:00Z
4,Over,1.93,132.5,Albany Great Danes,UMass Lowell River Hawks,BetRivers,2022-01-13T00:00:00Z
5,Under,1.89,132.5,Albany Great Danes,UMass Lowell River Hawks,BetRivers,2022-01-13T00:00:00Z
6,Over,1.91,134.0,Albany Great Danes,UMass Lowell River Hawks,BetUS,2022-01-13T00:00:00Z
7,Under,1.91,134.0,Albany Great Danes,UMass Lowell River Hawks,BetUS,2022-01-13T00:00:00Z
8,Over,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,Bovada,2022-01-13T00:00:00Z
9,Under,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,Bovada,2022-01-13T00:00:00Z
10,Over,1.87,132.5,Albany Great Danes,UMass Lowell River Hawks,DraftKings,2022-01-13T00:00:00Z
11,Under,1.95,132.5,Albany Great Danes,UMass Lowell River Hawks,DraftKings,2022-01-13T00:00:00Z
12,Over,1.85,133.5,Albany Great Danes,UMass Lowell River Hawks,FOX Bet,2022-01-13T00:00:00Z
13,Under,2.0,133.5,Albany Great Danes,UMass Lowell River Hawks,FOX Bet,2022-01-13T00:00:00Z
14,Over,1.89,133.5,Albany Great Danes,UMass Lowell River Hawks,FanDuel,2022-01-13T00:00:00Z
15,Under,1.93,133.5,Albany Great Danes,UMass Lowell River Hawks,FanDuel,2022-01-13T00:00:00Z
16,Over,1.92,133.0,Albany Great Danes,UMass Lowell River Hawks,GTbets,2022-01-13T00:00:00Z
17,Under,1.92,133.0,Albany Great Danes,UMass Lowell River Hawks,GTbets,2022-01-13T00:00:00Z
18,Over,1.97,133.5,Albany Great Danes,UMass Lowell River Hawks,LowVig.ag,2022-01-13T00:00:00Z
19,Under,1.89,133.5,Albany Great Danes,UMass Lowell River Hawks,LowVig.ag,2022-01-13T00:00:00Z
20,Over,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,PointsBet (US),2022-01-13T00:00:00Z
21,Under,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,PointsBet (US),2022-01-13T00:00:00Z
22,Over,1.93,132.5,Albany Great Danes,UMass Lowell River Hawks,SugarHouse,2022-01-13T00:00:00Z
23,Under,1.89,132.5,Albany Great Danes,UMass Lowell River Hawks,SugarHouse,2022-01-13T00:00:00Z
24,Over,1.93,132.5,Albany Great Danes,UMass Lowell River Hawks,TwinSpires,2022-01-13T00:00:00Z
25,Under,1.89,132.5,Albany Great Danes,UMass Lowell River Hawks,TwinSpires,2022-01-13T00:00:00Z
26,Over,1.89,132.5,Albany Great Danes,UMass Lowell River Hawks,Unibet,2022-01-13T00:00:00Z
27,Under,1.86,132.5,Albany Great Danes,UMass Lowell River Hawks,Unibet,2022-01-13T00:00:00Z
28,Over,1.91,133.5,Albany Great Danes,UMass Lowell River Hawks,William Hill (US),2022-01-13T00:00:00Z
29,Under,1.91,133.5,Albany Great Danes,UMass Lowell River Hawks,William Hill (US),2022-01-13T00:00:00Z
30,Over,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,WynnBET,2022-01-13T00:00:00Z
31,Under,1.91,133.0,Albany Great Danes,UMass Lowell River Hawks,WynnBET,2022-01-13T00:00:00Z
32,Over,1.92,151.5,Arkansas Razorbacks,Missouri Tigers,Barstool Sportsbook,2022-01-13T02:00:00Z
33,Under,1.91,151.5,Arkansas Razorbacks,Missouri Tigers,Barstool Sportsbook,2022-01-13T02:00:00Z
