,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
24,Over,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,BetMGM,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0,True
25,Under,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,BetMGM,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0,True
26,Over,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,BetUS,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0,True
27,Under,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,BetUS,2022-01-07T22:00:00Z,1.91,144.0,1.91,144.0,True
42,Over,1.88,130.0,Butler Bulldogs,Xavier Musketeers,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5,True
43,Under,1.93,130.0,Butler Bulldogs,Xavier Musketeers,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5,True
44,Over,1.91,130.5,Butler Bulldogs,Xavier Musketeers,BetMGM,2022-01-08T01:30:00Z,1.86,135.0,1.86,135.0,True
45,Under,1.91,130.5,Butler Bulldogs,Xavier Musketeers,BetMGM,2022-01-08T01:30:00Z,1.88,135.0,1.88,135.0,True
68,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,Barstool Sportsbook,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0,True
69,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,Barstool Sportsbook,2022-01-08T00:00:00Z,1.93,131.0,1.93,131.0,True
70,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetMGM,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0,True
71,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetMGM,2022-01-08T00:00:00Z,1.93,131.0,1.93,131.0,True
72,Over,1.93,139.0,Detroit Mercy Titans,Milwaukee Panthers,BetRivers,2022-01-08T00:00:00Z,1.86,131.0,1.86,131.0,True
73,Under,1.89,139.0,Detroit Mercy Titans,Milwaukee Panthers,BetRivers,2022-01-08T00:00:00Z,1.89,131.0,1.89,131.0,True
74,Over,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetUS,2022-01-08T00:00:00Z,1.91,131.5,1.91,131.0,True
75,Under,1.91,138.5,Detroit Mercy Titans,Milwaukee Panthers,BetUS,2022-01-08T00:00:00Z,1.91,131.5,1.91,131.0,True
76,Over,1.95,139.0,Detroit Mercy Titans,Milwaukee Panthers,DraftKings,2022-01-08T00:00:00Z,1.91,131.5,1.91,130.5,True
77,Under,1.87,139.0,Detroit Mercy Titans,Milwaukee Panthers,DraftKings,2022-01-08T00:00:00Z,1.91,131.5,1.91,130.5,True
98,Over,1.91,131.5,Fairfield Stags,Marist Red Foxes,BetMGM,2022-01-08T00:00:00Z,1.93,139.0,1.93,136.5,True
99,Under,1.91,131.5,Fairfield Stags,Marist Red Foxes,BetMGM,2022-01-08T00:00:00Z,1.89,139.0,1.88,136.5,True
102,Over,1.91,133.0,Fairfield Stags,Marist Red Foxes,BetUS,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5,True
103,Under,1.91,133.0,Fairfield Stags,Marist Red Foxes,BetUS,2022-01-08T00:00:00Z,1.91,138.5,1.91,136.5,True
104,Over,1.95,132.5,Fairfield Stags,Marist Red Foxes,Bovada,2022-01-08T00:00:00Z,1.87,138.5,1.91,136.5,True
105,Under,1.87,132.5,Fairfield Stags,Marist Red Foxes,Bovada,2022-01-08T00:00:00Z,1.95,138.5,1.91,136.5,True
108,Over,1.85,132.0,Fairfield Stags,Marist Red Foxes,FOX Bet,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5,True
109,Under,2.0,132.0,Fairfield Stags,Marist Red Foxes,FOX Bet,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5,True
114,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,PointsBet (US),2022-01-08T00:00:00Z,1.87,134.0,1.91,136.0,True
115,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,PointsBet (US),2022-01-08T00:00:00Z,1.95,134.0,1.91,136.0,True
124,Over,1.91,132.0,Fairfield Stags,Marist Red Foxes,WynnBET,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5,True
125,Under,1.91,132.0,Fairfield Stags,Marist Red Foxes,WynnBET,2022-01-08T00:00:00Z,1.91,133.5,1.91,135.5,True
126,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Barstool Sportsbook,2022-01-07T23:30:00Z,1.93,133.5,1.93,134.5,True
127,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,Barstool Sportsbook,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5,True
128,Over,1.91,153.5,Georgetown Hoyas,Marquette Golden Eagles,BetMGM,2022-01-07T23:30:00Z,1.93,133.5,1.93,134.5,True
129,Under,1.91,153.5,Georgetown Hoyas,Marquette Golden Eagles,BetMGM,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5,True
130,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetRivers,2022-01-07T23:30:00Z,1.89,133.5,1.89,134.5,True
131,Under,1.92,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetRivers,2022-01-07T23:30:00Z,1.85,133.5,1.85,134.5,True
